Rank,Name,ConvName,SitePos,SiteAge,BarType,Bar1,Bar2,OVR,Arm,Run,Fielding,IFRange,OFRange,AB,H,B2,B3,HR,BB,SO,vL_OBP,vL_SLG,vR_OBP,vR_SLG,Level,Age,Pos,EligCount,MaxFieldPos,END,AB_p,H_p,B2_p,B3_p,HR_p,BB_p,SO_p,WtdOBP,WtdSLG,NumPitches,MaxQual,OBP_blend,SLG_blend,GPA,BB%,K%,ISO
15,Jim Schaub,"Schaub, Jim",2B,21,H,76.89,133.01,129.26,5.27,2.73,0.986,3.32,3.02,600.0,190.0,43.0,2.0,34.0,83.0,43.0,0.406,0.576,0.394,0.557,AA,21,2B,2.0,1.0,,,,,,,,,,,,,0.397,0.5617500000000001,0.3190875,0.13833333333333334,0.07166666666666667,0.24508333333333343
16,Otto Pillard,"Pillard, Otto",RF,19,H,112.04,128.21,128.45,6.68,2.46,0.994,2.93,3.6,600.0,177.0,32.0,2.0,45.0,91.0,88.0,0.38,0.57,0.395,0.594,AA,19,RF,1.0,1.0,,,,,,,,,,,,,0.39125,0.588,0.32306250000000003,0.15166666666666667,0.14666666666666667,0.293
17,Frank Prater,"Prater, Frank",C,21,H,131.33,120.25,126.91,8.74,5.51,0.984,6.9,5.11,600.0,166.0,37.0,3.0,41.0,83.0,141.0,0.364,0.556,0.363,0.555,AA,21,C,1.0,1.0,,,,,,,,,,,,,0.36324999999999996,0.55525,0.30227499999999996,0.13833333333333334,0.235,0.27858333333333335
18,Wart McHorse,"McHorse, Wart",C,20,H,115.7,125.52,126.39,6.49,1.13,0.983,1.0,0.9,600.0,195.0,41.0,3.0,27.0,66.0,106.0,0.384,0.527,0.4,0.553,AA,20,C,1.0,1.0,,,,,,,,,,,,,0.396,0.5465000000000001,0.314825,0.11,0.17666666666666667,0.22150000000000009
19,Mike Skarupa,"Skarupa, Mike",2B,23,H,108.91,127.19,126.28,4.07,4.32,0.981,6.52,4.91,600.0,179.0,39.0,1.0,36.0,91.0,66.0,0.399,0.558,0.382,0.531,AA,23,2B,2.0,1.0,,,,,,,,,,,,,0.38625,0.53775,0.30825,0.15166666666666667,0.11,0.2394166666666666
20,Keith Morris,"Morris, Keith",C,22,H,123.89,121.55,126.23,8.0,3.76,0.981,2.64,3.37,600.0,166.0,39.0,2.0,36.0,93.0,97.0,0.363,0.514,0.384,0.547,AAA,22,C,1.0,1.0,,,,,,,,,,,,,0.37875000000000003,0.5387500000000001,0.30512500000000004,0.155,0.16166666666666665,0.2620833333333334
21,Deni Benites,"Benites, Deni",CF,22,H,61.4,131.63,125.52,5.94,2.04,0.982,1.78,2.0,600.0,183.0,43.0,4.0,34.0,111.0,96.0,0.425,0.579,0.403,0.544,ML,22,CF,1.0,1.0,,,,,,,,,,,,,0.40850000000000003,0.5527500000000001,0.32201250000000003,0.185,0.16,0.24775000000000008
22,Henry Parker,"Parker, Henry",3B,23,H,86.97,129.41,125.17,5.03,2.88,0.98,3.38,2.31,600.0,168.0,44.0,1.0,51.0,114.0,103.0,0.406,0.628,0.383,0.592,AAA,23,3B,1.0,1.0,,,,,,,,,,,,,0.38875000000000004,0.601,0.3251875,0.19,0.17166666666666666,0.32099999999999995
23,Ro Davis,"Davis, Ro",RF,23,H,120.56,121.55,125.15,3.74,6.54,0.999,5.75,7.86,600.0,185.0,44.0,2.0,36.0,72.0,101.0,0.373,0.556,0.393,0.586,AA,23,RF,2.0,1.0,,,,,,,,,,,,,0.388,0.5785,0.319225,0.12,0.16833333333333333,0.27016666666666667
24,Van Pullam,"Pullam, Van",2B,19,H,79.98,125.98,125.08,5.84,3.32,0.989,3.0,2.08,600.0,180.0,43.0,1.0,44.0,88.0,81.0,0.388,0.593,0.391,0.596,AA,19,2B,1.0,1.0,,,,,,,,,,,,,0.39025,0.59525,0.32442499999999996,0.14666666666666667,0.135,0.29524999999999996
25,Tormund Giantsbane,"Giantsbane, Tormund",SS,20,H,92.94,124.97,123.99,7.35,3.63,0.993,4.18,2.95,600.0,167.0,37.0,1.0,48.0,96.0,123.0,0.379,0.584,0.376,0.581,AA,20,SS,1.0,1.0,,,,,,,,,,,,,0.37675000000000003,0.58175,0.314975,0.16,0.205,0.30341666666666667
26,John Hetherington,"Hetherington, John",RF,24,H,122.45,119.79,123.75,5.5,6.14,0.993,4.38,5.89,600.0,200.0,43.0,5.0,17.0,69.0,63.0,0.41,0.519,0.394,0.495,AAA,24,RF,2.0,1.0,,,,,,,,,,,,,0.39799999999999996,0.501,0.30435,0.115,0.105,0.16766666666666669
27,Sparrow Mimbs,"Mimbs, Sparrow",3B,18,H,137.53,120.9,123.49,7.13,5.39,0.991,6.08,4.81,600.0,174.0,31.0,4.0,38.0,75.0,59.0,0.379,0.558,0.358,0.524,A,18,3B,1.0,1.0,,,,,,,,,,,,,0.36324999999999996,0.5325,0.2965875,0.125,0.09833333333333333,0.2425
28,Paul Kariya,"Kariya, Paul",RF,21,H,93.92,126.08,122.86,5.81,3.27,0.997,1.64,2.13,600.0,196.0,38.0,1.0,23.0,99.0,68.0,0.432,0.521,0.412,0.49,A,21,RF,1.0,1.0,,,,,,,,,,,,,0.417,0.49775,0.31208749999999996,0.165,0.11333333333333333,0.17108333333333337
29,Timothy Maller,"Maller, Timothy",SS,25,H,98.77,121.27,122.71,7.65,3.53,0.996,4.37,3.87,600.0,182.0,36.0,3.0,12.0,113.0,55.0,0.412,0.433,0.416,0.436,ML,25,SS,2.0,1.0,,,,,,,,,,,,,0.415,0.43525,0.2955625,0.18833333333333332,0.09166666666666666,0.13191666666666668
31,William Shea,"Shea, William",C,22,H,112.41,118.58,121.49,6.67,3.6,0.96,3.47,4.04,600.0,176.0,41.0,3.0,9.0,112.0,42.0,0.408,0.42,0.402,0.41,AAA,22,C,1.0,1.0,,,,,,,,,,,,,0.40349999999999997,0.4125,0.28469999999999995,0.18666666666666668,0.07,0.11916666666666664
33,Fabian Randall,"Randall, Fabian",3B,22,H,122.49,119.05,120.32,6.21,5.84,0.984,5.27,6.08,600.0,173.0,41.0,1.0,28.0,79.0,78.0,0.382,0.514,0.361,0.481,AAA,22,3B,3.0,1.0,,,,,,,,,,,,,0.36624999999999996,0.48925,0.287125,0.13166666666666665,0.13,0.2009166666666667
34,Specs Holliday,"Holliday, Specs",RF,18,H,115.61,122.38,119.84,6.56,4.12,0.99,3.47,4.04,600.0,165.0,34.0,3.0,25.0,137.0,92.0,0.42,0.48,0.4,0.449,A,18,RF,1.0,1.0,,,,,,,,,,,,,0.405,0.45675,0.2964375,0.22833333333333333,0.15333333333333332,0.18174999999999997
35,Dawson Blue,"Blue, Dawson",3B,24,H,144.36,113.87,119.69,6.68,9.8,0.995,5.95,6.64,600.0,170.0,28.0,6.0,30.0,86.0,103.0,0.373,0.501,0.373,0.501,ML,24,3B,2.0,1.0,,,,,,,,,,,,,0.373,0.501,0.2931,0.14333333333333334,0.17166666666666666,0.21766666666666667
36,Joseph Sabourin,"Sabourin, Joseph",3B,22,H,120.01,120.44,119.47,8.23,2.64,0.99,4.09,2.88,600.0,169.0,45.0,5.0,41.0,82.0,116.0,0.378,0.595,0.358,0.565,AA,22,3B,1.0,1.0,,,,,,,,,,,,,0.363,0.5725,0.306475,0.13666666666666666,0.19333333333333333,0.29083333333333333
37,Daniel Reyes,"Reyes, Daniel",3B,25,H,78.63,122.93,119.44,5.28,2.46,0.989,1.19,1.05,600.0,175.0,39.0,7.0,13.0,108.0,36.0,0.407,0.458,0.392,0.434,AA,25,3B,2.0,1.0,,,,,,,,,,,,,0.39575000000000005,0.44,0.28808750000000005,0.18,0.06,0.14833333333333332
38,Chubbs Peterson,"Peterson, Chubbs",RF,24,H,89.8,122.66,119.36,5.94,3.35,0.968,3.71,2.89,600.0,205.0,42.0,5.0,9.0,89.0,40.0,0.437,0.492,0.415,0.459,ML,24,RF,4.0,1.0,,,,,,,,,,,,,0.4205,0.46725,0.3060375,0.14833333333333334,0.06666666666666667,0.12558333333333332
39,Eugene Slaughter,"Slaughter, Eugene",CF,22,H,84.73,119.88,119.14,4.41,3.94,0.979,4.11,3.89,600.0,187.0,35.0,2.0,37.0,74.0,89.0,0.387,0.562,0.388,0.564,AAA,22,CF,3.0,1.0,,,,,,,,,,,,,0.38775000000000004,0.5634999999999999,0.3153625,0.12333333333333334,0.14833333333333334,0.25183333333333324
40,Johnny Dickshot,"Dickshot, Johnny",1B,19,H,95.64,122.75,119.1,7.05,2.06,0.991,2.0,1.79,600.0,191.0,44.0,4.0,30.0,60.0,62.0,0.388,0.567,0.373,0.544,AA,19,1B,2.0,1.0,,,,,,,,,,,,,0.37675000000000003,0.54975,0.306975,0.1,0.10333333333333333,0.2314166666666666
41,Morris Thorton,"Thorton, Morris",C,19,H,107.52,121.17,118.88,6.08,2.72,0.987,1.48,1.35,600.0,168.0,35.0,4.0,39.0,108.0,125.0,0.396,0.555,0.384,0.537,AA,19,C,1.0,1.0,,,,,,,,,,,,,0.387,0.5415000000000001,0.30952500000000005,0.18,0.20833333333333334,0.26150000000000007
42,Foots Zeckelman,"Zeckelman, Foots",RF,21,H,71.26,122.93,117.77,4.36,3.39,0.974,1.77,2.32,600.0,182.0,37.0,3.0,37.0,75.0,73.0,0.389,0.576,0.373,0.551,AAA,21,RF,3.0,1.0,,,,,,,,,,,,,0.377,0.55725,0.30896250000000003,0.125,0.12166666666666667,0.2539166666666667
43,T.R. Tappendorf,"Tappendorf, T.R.",CF,22,H,124.12,108.41,117.38,4.31,6.34,0.995,5.0,5.86,600.0,185.0,33.0,1.0,12.0,86.0,75.0,0.387,0.415,0.404,0.442,AA,22,CF,1.0,1.0,,,,,,,,,,,,,0.39975000000000005,0.43525,0.28870000000000007,0.14333333333333334,0.125,0.12691666666666668
44,Eddie Murray,"Murray, Eddie",LF,24,H,111.26,118.03,117.35,5.25,4.3,0.987,3.27,4.85,600.0,166.0,31.0,3.0,38.0,84.0,114.0,0.367,0.532,0.365,0.53,AA,24,LF,2.0,1.0,,,,,,,,,,,,,0.3655,0.5305,0.29710000000000003,0.14,0.19,0.2538333333333333
45,Ralph Warren,"Warren, Ralph",3B,20,H,137.14,116.18,117.35,6.47,4.71,0.99,6.22,4.68,600.0,164.0,44.0,5.0,40.0,80.0,117.0,0.368,0.577,0.348,0.547,A,20,3B,1.0,1.0,,,,,,,,,,,,,0.353,0.5545,0.297475,0.13333333333333333,0.195,0.2811666666666667
47,Elisha Keppler,"Keppler, Elisha",1B,18,H,84.17,122.93,117.22,4.66,2.84,0.978,2.73,2.4,600.0,165.0,30.0,1.0,38.0,95.0,91.0,0.365,0.506,0.385,0.536,A,18,1B,1.0,1.0,,,,,,,,,,,,,0.38,0.5285,0.303125,0.15833333333333333,0.15166666666666667,0.25349999999999995
48,Larry June,"June, Larry",2B,23,H,79.24,120.34,117.16,3.93,3.99,0.995,2.96,2.79,600.0,164.0,41.0,6.0,33.0,83.0,61.0,0.36,0.529,0.363,0.532,AAA,23,2B,4.0,1.0,,,,,,,,,,,,,0.36224999999999996,0.53125,0.295825,0.13833333333333334,0.10166666666666667,0.2579166666666667
49,Bruce Degirolamo,"Degirolamo, Bruce",RF,19,H,116.09,115.9,116.85,7.72,4.33,0.983,3.1,3.93,600.0,180.0,37.0,4.0,20.0,72.0,46.0,0.37,0.465,0.379,0.479,A,19,RF,1.0,1.0,,,,,,,,,,,,,0.37675000000000003,0.4755,0.2884125,0.12,0.07666666666666666,0.1755
50,Rube McGee,"McGee, Rube",3B,18,H,121.38,117.29,116.77,7.18,2.83,0.998,3.97,3.61,600.0,169.0,22.0,4.0,44.0,88.0,138.0,0.379,0.56,0.367,0.542,A,18,3B,1.0,1.0,,,,,,,,,,,,,0.37,0.5465,0.303125,0.14666666666666667,0.23,0.2648333333333333
51,Slim Charles,"Charles, Slim",SS,21,H,89.93,117.66,116.73,8.31,2.54,0.996,3.7,2.44,600.0,173.0,29.0,2.0,35.0,70.0,90.0,0.352,0.501,0.374,0.536,AA,21,SS,2.0,1.0,,,,,,,,,,,,,0.36849999999999994,0.52725,0.2976375,0.11666666666666667,0.15,0.23891666666666667
54,Gary Berkshire,"Berkshire, Gary",1B,24,H,88.52,119.6,115.57,4.41,3.05,0.981,3.07,4.03,600.0,190.0,37.0,7.0,14.0,100.0,51.0,0.424,0.49,0.404,0.459,ML,24,1B,5.0,1.0,,,,,,,,,,,,,0.40900000000000003,0.46675,0.3007375,0.16666666666666666,0.085,0.15008333333333335
55,Bill Doak,"Doak, Bill",C,22,H,135.72,109.15,115.51,7.94,1.25,0.997,1.12,1.02,600.0,185.0,30.0,5.0,16.0,78.0,42.0,0.397,0.469,0.378,0.438,A,22,C,1.0,1.0,,,,,,,,,,,,,0.38275,0.44575,0.283675,0.13,0.07,0.13741666666666663
56,Sung Peralto,"Peralto, Sung",SS,24,H,143.21,110.26,115.4,7.27,6.99,0.991,7.73,5.62,600.0,166.0,37.0,3.0,27.0,94.0,95.0,0.382,0.496,0.369,0.476,ML,24,SS,3.0,1.0,,,,,,,,,,,,,0.37224999999999997,0.481,0.2877625,0.15666666666666668,0.15833333333333333,0.2043333333333333
57,Francis Bradley,"Bradley, Francis",C,23,H,127.59,109.89,115.37,6.93,3.39,0.992,3.15,4.49,600.0,170.0,32.0,1.0,24.0,78.0,55.0,0.375,0.474,0.357,0.446,AAA,23,C,4.0,1.0,,,,,,,,,,,,,0.3615,0.453,0.275925,0.13,0.09166666666666666,0.1696666666666667
59,Harold Baines,"Baines, Harold",CF,18,H,88.37,117.2,115.24,6.49,3.9,0.989,2.88,3.64,600.0,194.0,38.0,3.0,22.0,67.0,62.0,0.382,0.494,0.401,0.524,A,18,CF,1.0,1.0,,,,,,,,,,,,,0.39625,0.5165,0.30743750000000003,0.11166666666666666,0.10333333333333333,0.19316666666666665
62,Jason Quintanilla,"Quintanilla, Jason",CF,23,H,99.94,112.39,114.39,4.14,4.78,0.999,2.98,4.38,600.0,179.0,34.0,3.0,20.0,78.0,39.0,0.379,0.464,0.38,0.465,ML,23,CF,3.0,1.0,,,,,,,,,,,,,0.37975000000000003,0.46475,0.287075,0.13,0.065,0.16641666666666666
64,Steven Nelson,"Nelson, Steven",3B,22,H,146.11,107.21,113.87,8.61,5.34,0.995,6.61,5.32,600.0,180.0,39.0,2.0,15.0,85.0,93.0,0.397,0.465,0.375,0.431,AAA,22,3B,3.0,1.0,,,,,,,,,,,,,0.3805,0.4395,0.2811,0.14166666666666666,0.155,0.1395
65,Vernon Millikin,"Millikin, Vernon",LF,24,H,53.87,119.42,113.79,1.1,2.58,0.991,1.57,1.03,600.0,199.0,41.0,5.0,9.0,86.0,41.0,0.407,0.448,0.426,0.478,AAA,24,LF,1.0,1.0,,,,,,,,,,,,,0.42125,0.4705,0.3071875,0.14333333333333334,0.06833333333333333,0.1388333333333333
66,Richard Wallick,"Wallick, Richard",3B,20,H,106.41,111.37,113.65,6.28,2.55,0.997,3.51,2.37,600.0,173.0,31.0,3.0,26.0,70.0,58.0,0.364,0.481,0.361,0.478,A,20,3B,1.0,1.0,,,,,,,,,,,,,0.36175,0.47875,0.28247500000000003,0.11666666666666667,0.09666666666666666,0.19041666666666668
67,Jan Gardner,"Gardner, Jan",LF,21,H,82.69,118.86,113.41,6.78,2.86,0.989,2.71,2.92,600.0,168.0,33.0,4.0,20.0,123.0,71.0,0.41,0.458,0.395,0.434,A,21,LF,1.0,1.0,,,,,,,,,,,,,0.39875,0.44,0.2894375,0.205,0.11833333333333333,0.15999999999999998
68,John Whitlock,"Whitlock, John",SS,23,H,70.93,117.29,113.39,5.58,1.75,0.997,1.09,0.8,600.0,172.0,45.0,4.0,20.0,90.0,72.0,0.389,0.488,0.371,0.459,AAA,23,SS,3.0,1.0,,,,,,,,,,,,,0.3755,0.46625,0.2855375,0.15,0.12,0.17958333333333332
69,Mark Tribbey,"Tribbey, Mark",C,21,H,126.89,103.14,112.91,8.63,1.9,0.991,1.44,1.36,600.0,176.0,31.0,1.0,12.0,82.0,77.0,0.376,0.406,0.381,0.41,A,21,C,1.0,1.0,,,,,,,,,,,,,0.37975000000000003,0.40900000000000003,0.27313750000000003,0.13666666666666666,0.12833333333333333,0.1156666666666667
70,Charlie Land,"Land, Charlie",C,20,H,125.78,108.5,112.63,8.04,4.84,0.971,6.52,6.13,600.0,177.0,34.0,4.0,25.0,73.0,105.0,0.382,0.506,0.36,0.472,AA,20,C,1.0,1.0,,,,,,,,,,,,,0.36550000000000005,0.4805,0.2846,0.12166666666666667,0.175,0.1855
71,Randall Moultry,"Moultry, Randall",RF,24,H,68.91,116.27,112.46,4.23,3.26,0.971,2.67,1.78,600.0,175.0,35.0,3.0,12.0,109.0,56.0,0.389,0.4,0.413,0.437,AAA,24,RF,3.0,1.0,,,,,,,,,,,,,0.407,0.42774999999999996,0.29008749999999994,0.18166666666666667,0.09333333333333334,0.13608333333333328
72,Clifford Chan,"Chan, Clifford",C,25,H,101.49,116.73,112.44,6.04,3.4,0.97,3.03,4.17,600.0,157.0,32.0,1.0,34.0,103.0,95.0,0.359,0.47,0.38,0.502,ML,25,C,2.0,1.0,,,,,,,,,,,,,0.37475,0.494,0.29213750000000005,0.17166666666666666,0.15833333333333333,0.23233333333333334
73,Killian Bailey,"Bailey, Killian",2B,23,H,87.71,114.14,112.42,5.67,3.39,0.984,4.19,2.84,600.0,173.0,36.0,3.0,27.0,82.0,82.0,0.383,0.508,0.365,0.48,AAA,23,2B,2.0,1.0,,,,,,,,,,,,,0.3695,0.487,0.288025,0.13666666666666666,0.13666666666666666,0.19866666666666666
74,Dave Gotchy,"Gotchy, Dave",C,22,H,128.63,109.43,112.28,7.07,4.41,0.989,4.82,5.28,600.0,165.0,41.0,2.0,34.0,74.0,132.0,0.348,0.507,0.362,0.528,AAA,22,C,1.0,1.0,,,,,,,,,,,,,0.35849999999999993,0.52275,0.2920125,0.12333333333333334,0.22,0.24775000000000003
75,Bez Willis,"Willis, Bez",3B,18,H,137.82,108.22,112.11,8.42,4.0,0.998,4.82,4.2,600.0,177.0,51.0,5.0,18.0,57.0,57.0,0.364,0.497,0.348,0.473,A,18,3B,1.0,1.0,,,,,,,,,,,,,0.352,0.479,0.27815,0.095,0.095,0.184
76,Antonio Cheatham,"Cheatham, Antonio",RF,24,H,118.01,109.33,112.05,7.02,5.59,0.972,5.5,4.66,600.0,186.0,30.0,1.0,15.0,75.0,41.0,0.391,0.445,0.381,0.428,AAA,24,RF,5.0,1.0,,,,,,,,,,,,,0.3835,0.43225,0.2806375,0.125,0.06833333333333333,0.12225000000000003
78,Dave Kuthe,"Kuthe, Dave",RF,25,H,118.51,112.39,111.15,4.31,5.79,0.998,4.93,6.65,600.0,161.0,38.0,2.0,35.0,90.0,98.0,0.372,0.528,0.353,0.498,ML,25,RF,4.0,1.0,,,,,,,,,,,,,0.35775,0.5055000000000001,0.2873625,0.15,0.16333333333333333,0.23716666666666675
79,Vernon Ryzinski,"Ryzinski, Vernon",CF,19,H,129.02,108.5,111.02,4.22,5.39,0.995,6.24,8.0,600.0,162.0,48.0,3.0,21.0,85.0,129.0,0.355,0.456,0.367,0.475,AA,19,CF,2.0,1.0,,,,,,,,,,,,,0.364,0.47024999999999995,0.28136249999999996,0.14166666666666666,0.215,0.20024999999999993
81,Dan Flashes,"Flashes, Dan",RF,20,H,143.62,106.19,110.85,7.27,9.79,0.975,8.3,9.37,600.0,167.0,29.0,3.0,15.0,99.0,70.0,0.371,0.399,0.39,0.429,A,20,RF,1.0,1.0,,,,,,,,,,,,,0.38525,0.4215,0.27873749999999997,0.165,0.11666666666666667,0.14316666666666666
83,Wendell Linsey,"Linsey, Wendell",RF,24,H,89.37,113.13,110.76,6.26,2.44,0.979,3.43,2.51,600.0,170.0,44.0,5.0,31.0,62.0,75.0,0.362,0.547,0.34,0.513,ML,24,RF,4.0,1.0,,,,,,,,,,,,,0.34550000000000003,0.5215000000000001,0.28585000000000005,0.10333333333333333,0.125,0.23816666666666675
84,Pretzel Schneider,"Schneider, Pretzel",RF,21,H,106.0,111.28,110.76,8.25,2.07,0.983,3.39,3.1,600.0,197.0,50.0,3.0,11.0,58.0,37.0,0.399,0.497,0.376,0.461,AA,21,RF,3.0,1.0,,,,,,,,,,,,,0.38175000000000003,0.47,0.28928750000000003,0.09666666666666666,0.06166666666666667,0.14166666666666666
86,Brent Bejaran,"Bejaran, Brent",CF,18,H,86.15,113.03,110.35,4.02,4.35,0.957,2.92,4.35,600.0,162.0,40.0,2.0,31.0,71.0,85.0,0.345,0.496,0.35,0.501,A,18,CF,1.0,1.0,,,,,,,,,,,,,0.34874999999999995,0.49975,0.281875,0.11833333333333333,0.14166666666666666,0.22975
87,Barry Ouimet,"Ouimet, Barry",CF,23,H,86.64,113.96,110.3,6.59,2.87,0.991,3.58,4.05,600.0,164.0,33.0,2.0,36.0,87.0,128.0,0.355,0.497,0.375,0.527,AAA,23,CF,1.0,1.0,,,,,,,,,,,,,0.37,0.5195,0.296375,0.145,0.21333333333333335,0.24616666666666664
88,Durance Vile,"Vile, Durance",SS,23,H,110.93,106.1,110.28,8.66,3.83,0.994,5.67,3.95,600.0,185.0,33.0,1.0,26.0,56.0,71.0,0.376,0.513,0.36,0.487,ML,23,SS,2.0,1.0,,,,,,,,,,,,,0.364,0.49349999999999994,0.28717499999999996,0.09333333333333334,0.11833333333333333,0.1851666666666666
89,Jim Bell,"Bell, Jim",3B,23,H,142.17,105.64,110.22,6.45,3.97,0.999,5.98,5.42,600.0,183.0,43.0,5.0,9.0,90.0,83.0,0.405,0.453,0.385,0.422,AAA,23,3B,2.0,1.0,,,,,,,,,,,,,0.39,0.42975,0.2829375,0.15,0.13833333333333334,0.12475000000000003
90,Walt Lopez,"Lopez, Walt",3B,24,H,79.64,112.39,110.04,4.69,2.95,0.987,2.61,3.95,600.0,177.0,36.0,1.0,27.0,67.0,67.0,0.374,0.508,0.356,0.481,ML,24,3B,3.0,1.0,,,,,,,,,,,,,0.36050000000000004,0.48775,0.28416250000000004,0.11166666666666666,0.11166666666666666,0.19275000000000003
91,Toby Hunt,"Hunt, Toby",C,21,H,131.89,101.38,109.98,8.92,2.66,0.989,3.84,3.11,600.0,172.0,24.0,2.0,26.0,67.0,69.0,0.366,0.478,0.35,0.453,AAA,21,C,2.0,1.0,,,,,,,,,,,,,0.354,0.45925,0.2741125,0.11166666666666666,0.115,0.1725833333333333
92,Ibrahim Moizoos,"Moizoos, Ibrahim",LF,24,H,69.21,112.2,109.76,1.64,4.31,0.976,3.44,2.84,600.0,175.0,39.0,3.0,28.0,55.0,84.0,0.353,0.506,0.351,0.504,ML,24,LF,2.0,1.0,,,,,,,,,,,,,0.3515,0.5045,0.2843,0.09166666666666666,0.14,0.21283333333333326
93,John Dougherty,"Dougherty, John",3B,22,H,117.62,108.78,109.67,7.39,4.37,0.988,4.09,4.42,600.0,168.0,51.0,0.0,24.0,47.0,82.0,0.324,0.469,0.343,0.499,AA,22,3B,2.0,1.0,,,,,,,,,,,,,0.33825000000000005,0.49149999999999994,0.27508750000000004,0.07833333333333334,0.13666666666666666,0.2114999999999999
95,Max Cady,"Cady, Max",1B,23,H,139.29,107.86,109.15,6.09,6.07,0.996,3.93,5.79,600.0,167.0,47.0,2.0,20.0,71.0,69.0,0.345,0.449,0.364,0.479,AAA,23,1B,4.0,1.0,,,,,,,,,,,,,0.35925,0.4715,0.2795375,0.11833333333333333,0.115,0.19316666666666665
96,Fred Briggs,"Briggs, Fred",2B,24,H,72.96,112.11,109.11,4.95,2.89,0.993,1.91,1.38,600.0,177.0,31.0,5.0,5.0,106.0,43.0,0.407,0.398,0.395,0.379,AAA,24,2B,5.0,1.0,,,,,,,,,,,,,0.398,0.38375000000000004,0.27503750000000005,0.17666666666666667,0.07166666666666667,0.08875000000000005
