Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
Clisham,Glenn,18,3B,MAIN,A,R,R,5.06,7.37,5.50,3.66,0.973,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,155,23,5,3,41,52,0.266,0.315,0.343,0.250,0.295,0.312,0.429,0.355,0.216,0.58,1.08,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Hessel,Eddie,30,C,CHES,ML,R,R,2.59,8.48,2.00,1.63,0.994,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.61,600,157,32,8,30,60,124,0.268,0.337,0.503,0.254,0.319,0.476,0.413,0.425,0.162,0.41,1.00,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.55,
Evans,Carl,19,SS,OMA,A,R,R,3.25,7.37,6.09,4.67,0.976,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,130,18,0,0,41,80,0.224,0.277,0.261,0.210,0.259,0.233,0.434,0.382,0.184,0.65,1.83,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.537,0.669,0.357,0.525,0.650,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Matthew,Kyle,22,2B,FA,A,S,R,3.57,7.54,6.14,4.04,0.964,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,600,151,23,5,6,85,42,0.251,0.344,0.338,0.254,0.347,0.341,0.394,0.309,0.297,0.63,1.45,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.543,0.678,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.12,
Pennant,George,26,SS,NORW,ML,S,R,5.15,6.78,5.56,4.06,0.988,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,600,181,46,7,16,88,97,0.302,0.392,0.483,0.302,0.391,0.483,0.324,0.493,0.183,0.46,2.40,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.541,0.674,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.75,
Taylor,Alphonso,19,3B,FA,A,R,R,3.29,5.44,4.43,3.39,0.984,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,151,25,3,10,53,90,0.260,0.323,0.370,0.244,0.303,0.340,0.305,0.447,0.248,0.52,2.95,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Haefner,Ali,18,LF,FA,A,S,R,2.07,6.50,2.10,2.29,0.995,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,600,123,28,2,13,44,171,0.206,0.260,0.326,0.205,0.259,0.324,0.367,0.425,0.208,0.69,1.75,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.538,0.671,0.357,0.524,0.649,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,37.33,
Rusk,Brendan,25,RF,CHES,AAA,R,R,4.43,7.69,5.95,4.74,0.982,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,600,171,29,8,11,29,54,0.288,0.322,0.420,0.281,0.312,0.406,0.510,0.315,0.175,0.53,2.40,84,30,8,1,5,30,6,Fastball,1.00,0.373,0.545,0.681,0.352,0.518,0.639,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,39.06,
Reynolds,Cookie,19,CF,OMA,A,L,R,4.34,6.58,4.53,5.11,0.976,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,600,156,36,3,10,68,105,0.254,0.327,0.368,0.266,0.343,0.393,0.478,0.270,0.252,0.61,2.17,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.47,
Anderson,Alejandro,19,RF,FA,A,L,R,2.78,5.73,3.86,4.15,0.990,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.89,600,158,41,2,23,46,64,0.258,0.309,0.441,0.270,0.325,0.467,0.293,0.465,0.243,0.56,1.01,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.538,0.670,0.357,0.525,0.649,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Thompson Jr,Willie,19,RF,FA,A,S,R,6.56,8.77,5.01,6.31,0.990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,133,29,8,14,61,69,0.223,0.295,0.365,0.219,0.291,0.362,0.316,0.394,0.290,0.64,1.16,84,30,8,1,5,30,6,Fastball,1.00,0.366,0.536,0.667,0.358,0.527,0.652,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,42.59,
Gallegos,Curtis,27,P,RICH,AAA,R,R,2.41,9.06,2.49,3.97,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,1,5,21,0.145,0.188,0.221,0.135,0.174,0.199,0.252,0.608,0.141,0.56,4.22,600,166,40,4,23,68,209,Fastball,0.38,0.261,0.336,0.461,0.251,0.323,0.441,Curve,0.18,0.284,0.359,0.484,0.274,0.346,0.464,Slider,0.22,0.293,0.368,0.493,0.283,0.355,0.473,Forkball,0.22,0.305,0.380,0.505,0.295,0.367,0.485,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,62.30,
Frack,Teddy,23,CF,HILL,AAA,S,R,2.85,5.59,2.53,3.13,0.973,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,600,176,31,5,20,52,58,0.292,0.349,0.463,0.294,0.350,0.464,0.273,0.487,0.240,0.53,2.77,84,30,8,1,5,30,6,Fastball,1.00,0.365,0.535,0.666,0.359,0.528,0.654,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.22,
Mulder,Spooky,39,SS,FA,A,R,R,6.80,6.07,6.09,6.66,0.996,0.00,0.00,0.05,0.07,0.14,1.00,1.00,1.00,0.11,600,193,45,6,18,65,59,0.328,0.396,0.520,0.316,0.380,0.495,0.430,0.418,0.152,0.44,2.23,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,34.54,
Farkus,Scut,27,P,CASP,ML,R,R,2.22,9.03,3.75,3.83,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,1,0,3,35,0.166,0.192,0.222,0.154,0.176,0.198,0.260,0.518,0.222,0.67,8.00,600,142,28,3,16,33,154,Fastball,0.29,0.227,0.269,0.374,0.210,0.248,0.341,Curve,0.25,0.247,0.289,0.394,0.230,0.268,0.361,Changeup,0.46,0.256,0.299,0.403,0.240,0.278,0.371,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,74.02,
Clark,Lawrence,23,CF,ELP,AA,L,L,7.38,7.29,8.49,10.00,0.991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.00,600,148,51,3,11,46,72,0.237,0.287,0.379,0.256,0.312,0.417,0.228,0.568,0.204,0.51,2.56,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.648,0.368,0.539,0.672,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,42.97,
Bock,Sean,23,P,FA,A,R,R,2.30,8.77,3.96,2.65,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,0,1,4,43,0.177,0.211,0.244,0.163,0.193,0.216,0.307,0.440,0.253,0.68,5.55,600,178,49,5,28,80,160,Fastball,0.28,0.280,0.365,0.529,0.267,0.348,0.503,Curve,0.25,0.300,0.385,0.549,0.287,0.368,0.523,Slider,0.28,0.312,0.397,0.561,0.299,0.380,0.534,Changeup,0.18,0.331,0.416,0.580,0.318,0.399,0.553,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,56.09,
McQuiston,Dave,26,P,MAHO,AAA,R,L,3.07,9.08,2.88,2.29,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,1,1,3,40,0.170,0.197,0.250,0.150,0.172,0.210,0.356,0.412,0.232,0.55,3.25,600,169,29,3,17,43,108,Fastball,0.32,0.253,0.300,0.392,0.266,0.315,0.417,Curve,0.18,0.275,0.321,0.414,0.287,0.337,0.439,Slider,0.28,0.283,0.329,0.422,0.295,0.345,0.446,Changeup,0.23,0.297,0.343,0.436,0.309,0.359,0.461,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.60,
French,Simeon,19,P,FA,A,L,L,2.18,8.57,4.81,3.18,0.984,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,4,1,1,4,23,0.165,0.195,0.250,0.175,0.208,0.270,0.366,0.348,0.287,0.54,7.65,600,151,50,6,29,52,123,Fastball,0.35,0.223,0.280,0.463,0.238,0.299,0.493,Curve,0.21,0.244,0.301,0.484,0.259,0.321,0.514,Slider,0.22,0.255,0.313,0.495,0.270,0.332,0.525,Changeup,0.23,0.266,0.324,0.506,0.281,0.343,0.536,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,61.73,
Maddy,Mario,28,P,ELP,AAA,R,R,2.58,8.65,3.97,2.62,0.991,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,0,5,38,0.145,0.187,0.190,0.135,0.175,0.170,0.275,0.504,0.222,0.59,5.79,600,155,44,5,25,54,104,Fastball,0.30,0.243,0.306,0.465,0.229,0.287,0.437,Curve,0.15,0.265,0.328,0.488,0.251,0.310,0.459,Slider,0.26,0.272,0.334,0.494,0.257,0.316,0.466,Changeup,0.29,0.282,0.345,0.505,0.268,0.327,0.476,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.94,
Jin,Christoper,29,P,AUCK,AAA,L,L,2.48,8.72,4.66,3.29,0.985,1.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,1,0,4,42,0.152,0.182,0.195,0.168,0.202,0.225,0.114,0.590,0.296,0.65,5.30,600,147,38,4,22,48,183,Fastball,0.22,0.204,0.258,0.387,0.216,0.273,0.410,Curve,0.22,0.224,0.278,0.407,0.236,0.293,0.430,Slider,0.14,0.242,0.296,0.425,0.253,0.310,0.447,Changeup,0.23,0.245,0.299,0.428,0.257,0.314,0.451,Sinker,0.06,0.301,0.355,0.484,0.313,0.370,0.507,Forkball,0.12,0.281,0.335,0.464,0.293,0.350,0.487,55.46,
Webb,Rube,23,P,FA,A,R,L,1.04,8.99,3.55,2.02,0.987,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,0,1,3,30,0.168,0.194,0.226,0.152,0.174,0.194,0.261,0.601,0.137,0.65,4.81,600,193,40,4,23,72,122,Fastball,0.26,0.286,0.356,0.478,0.301,0.375,0.507,Curve,0.24,0.306,0.376,0.498,0.321,0.395,0.527,Slider,0.25,0.318,0.388,0.510,0.333,0.407,0.540,Changeup,0.14,0.341,0.411,0.533,0.356,0.430,0.563,Forkball,0.11,0.361,0.431,0.553,0.375,0.450,0.582,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,52.82,
Coplon,Cotton,23,P,LOUI,AA,R,L,3.56,9.04,4.73,2.94,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,0,1,3,43,0.146,0.173,0.203,0.134,0.157,0.177,0.404,0.375,0.221,0.69,7.83,600,155,28,3,16,70,208,Fastball,0.27,0.225,0.300,0.351,0.244,0.324,0.389,Curve,0.27,0.245,0.320,0.371,0.264,0.344,0.409,Changeup,0.28,0.257,0.332,0.384,0.276,0.356,0.421,Forkball,0.18,0.277,0.351,0.403,0.295,0.376,0.440,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.65,
Oakley,Don,30,P,FA,A,R,R,1.84,8.70,4.08,2.57,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,5,35,0.136,0.179,0.232,0.124,0.163,0.208,0.419,0.293,0.288,0.56,8.00,600,167,29,3,17,37,83,Fastball,0.33,0.264,0.308,0.413,0.249,0.288,0.382,Slider,0.29,0.284,0.328,0.433,0.269,0.308,0.402,Changeup,0.21,0.300,0.344,0.449,0.285,0.324,0.418,Forkball,0.17,0.316,0.360,0.465,0.301,0.340,0.434,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,69.08,
Klinner,Jordan,18,P,OMA,A,L,L,2.98,8.74,2.08,3.49,0.992,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,1,0,3,38,0.164,0.186,0.207,0.176,0.202,0.233,0.444,0.381,0.174,0.73,4.78,600,188,37,4,22,33,115,Fastball,0.33,0.280,0.313,0.457,0.295,0.332,0.486,Curve,0.15,0.303,0.337,0.480,0.318,0.356,0.510,Slider,0.12,0.319,0.352,0.496,0.333,0.371,0.525,Changeup,0.21,0.320,0.353,0.496,0.334,0.372,0.526,Forkball,0.19,0.333,0.367,0.510,0.348,0.386,0.540,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.44,
Steptoe,Lowell,27,P,HILL,AA,R,R,1.36,9.41,2.99,3.39,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,1,0,6,34,0.149,0.200,0.217,0.131,0.177,0.183,0.280,0.518,0.202,0.66,7.60,600,155,49,5,29,51,150,Fastball,0.23,0.233,0.293,0.480,0.224,0.281,0.463,Curve,0.25,0.253,0.313,0.500,0.244,0.301,0.483,Slider,0.26,0.265,0.325,0.513,0.256,0.313,0.495,Changeup,0.21,0.280,0.340,0.528,0.271,0.329,0.510,Sinker,0.05,0.364,0.424,0.611,0.355,0.412,0.594,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,56.36,
