Rank,Name,ConvName,SitePos,SiteAge,BarType,Bar1,Bar2,OVR,Arm,Run,Fielding,IFRange,OFRange,AB,H,B2,B3,HR,BB,SO,vL_OBP,vL_SLG,vR_OBP,vR_SLG,Level,Age,Pos,EligCount,MaxFieldPos,END,AB_p,H_p,B2_p,B3_p,HR_p,BB_p,SO_p,WtdOBP,WtdSLG,NumPitches,MaxQual,PitchGPA,K%_p,BB%_p
60,Anthony Schmal,"Schmal, Anthony",P,25,P,148.0,108.37,114.85,,,,,,,,,,,,,,,,,ML,25,P,,,8.0,600.0,153.0,20.0,2.0,12.0,45.0,117.0,0.3042425,0.3492425,4.0,0.31,0.22421975000000002,0.195,0.075
61,Roland Scarbrough,"Scarbrough, Roland",P,19,P,148.0,108.22,114.7,,,,,,,,,,,,,,,,,AA,19,P,,,8.0,600.0,148.0,25.0,3.0,15.0,39.0,134.0,0.28897,0.3651025,4.0,0.33,0.221312125,0.22333333333333333,0.065
63,Napoleon Jones,"Jones, Napoleon",P,18,P,148.0,114.2,114.2,,,,,,,,,,,,,,,,,A,18,P,,,8.0,600.0,141.0,19.0,2.0,11.0,76.0,166.0,0.3168499999999999,0.3195074999999999,3.0,0.37,0.22245937499999996,0.27666666666666667,0.12666666666666668
77,Dave Stockwell,"Stockwell, Dave",P,23,P,138.94,106.76,111.39,,,,,,,,,,,,,,,,,AAA,23,P,,,7.51,600.0,145.0,26.0,3.0,15.0,51.0,149.0,0.29506,0.3609125,5.0,0.25,0.22300512500000003,0.24833333333333332,0.085
80,Tyree Forkin,"Forkin, Tyree",P,25,P,137.09,108.19,110.96,,,,,,,,,,,,,,,,,ML,25,P,,,7.41,600.0,146.0,24.0,3.0,14.0,50.0,208.0,0.2986499999999999,0.3555175,2.0,0.53,0.22327187499999995,0.3466666666666667,0.08333333333333333
82,Bobby Digital,"Digital, Bobby",P,24,P,126.54,110.83,110.83,,,,,,,,,,,,,,,,,AAA,24,P,,,6.84,600.0,162.0,18.0,2.0,11.0,21.0,89.0,0.2917275,0.3554775,3.0,0.46,0.22014675,0.14833333333333334,0.035
85,Quincy Shearn,"Shearn, Quincy",P,19,P,88.25,117.96,110.56,,,,,,,,,,,,,,,,,AA,19,P,,,4.77,600.0,124.0,25.0,3.0,15.0,79.0,218.0,0.2949075,0.32585,3.0,0.41,0.21417087499999998,0.36333333333333334,0.13166666666666665
94,Winston Smith,"Smith, Winston",P,23,P,103.6,107.48,109.33,,,,,,,,,,,,,,,,,ML,23,P,,,5.6,600.0,154.0,18.0,2.0,11.0,38.0,101.0,0.3054925742574257,0.3534207920792079,3.0,0.46,0.22582685643564354,0.16833333333333333,0.06333333333333334
99,Carl Broddy,"Broddy, Carl",P,22,P,96.2,105.89,108.67,,,,,,,,,,,,,,,,,A,22,P,,,5.2,600.0,142.0,25.0,3.0,14.0,46.0,171.0,0.2956039603960396,0.367440594059406,4.0,0.35,0.2248819306930693,0.285,0.07666666666666666
101,Micheal Holtzlander,"Holtzlander, Micheal",P,21,P,91.39,115.61,108.43,,,,,,,,,,,,,,,,,AA,21,P,,,4.94,600.0,126.0,25.0,3.0,14.0,68.0,167.0,0.2953475,0.33989,3.0,0.49,0.217878875,0.2783333333333333,0.11333333333333333
103,Jerry Sheekey,"Sheekey, Jerry",P,25,P,71.97,110.0,108.15,,,,,,,,,,,,,,,,,AA,25,P,,,3.89,600.0,151.0,25.0,3.0,14.0,30.0,127.0,0.28245,0.3657799999999999,3.0,0.56,0.21854749999999998,0.21166666666666667,0.05
105,Rowdy Roddy,"Roddy, Rowdy",P,24,P,139.86,104.34,108.04,,,,,,,,,,,,,,,,,ML,24,P,,,7.56,600.0,148.0,26.0,3.0,15.0,44.0,145.0,0.2935,0.369925,4.0,0.37,0.22455625,0.24166666666666667,0.07333333333333333
106,Jim Davenport,"Davenport, Jim",P,22,P,127.83,102.43,107.98,,,,,,,,,,,,,,,,,A,22,P,,,6.91,600.0,145.0,32.0,4.0,18.0,31.0,185.0,0.27545,0.39326,2.0,0.56,0.2222675,0.30833333333333335,0.051666666666666666
109,Tom Ward,"Ward, Tom",P,24,P,105.45,105.1,107.87,,,,,,,,,,,,,,,,,ML,24,P,,,5.7,600.0,144.0,27.0,3.0,16.0,51.0,113.0,0.2941138613861385,0.3668638613861386,4.0,0.37,0.22406720297029697,0.18833333333333332,0.085
113,Kent Tekulve,"Tekulve, Kent",P,21,P,73.26,109.52,107.67,,,,,,,,,,,,,,,,,AA,21,P,,,3.96,600.0,154.0,21.0,2.0,12.0,36.0,147.0,0.29452,0.3547175,4.0,0.38,0.22121337500000002,0.245,0.06
114,Storm Bird Pamola,"Pamola, Storm Bird",P,19,P,124.32,107.58,107.58,,,,,,,,,,,,,,,,,AA,19,P,,,6.72,600.0,140.0,31.0,3.0,18.0,38.0,120.0,0.2749974747474747,0.3808358585858586,5.0,0.27,0.21895782828282828,0.2,0.06333333333333334
115,Steve Bush,"Bush, Steve",P,24,P,144.12,102.6,107.23,,,,,,,,,,,,,,,,,AAA,24,P,,,7.79,600.0,152.0,28.0,3.0,16.0,28.0,126.0,0.2826313131313132,0.3858813131313131,5.0,0.31,0.2236544191919192,0.21,0.04666666666666667
116,Trip Hawkins,"Hawkins, Trip",P,24,P,116.73,109.87,107.1,,,,,,,,,,,,,,,,,AAA,24,P,,,6.31,600.0,142.0,23.0,3.0,14.0,61.0,151.0,0.3030949999999999,0.34584,4.0,0.34,0.22285274999999993,0.25166666666666665,0.10166666666666667
118,Harry Bormann,"Bormann, Harry",P,25,P,72.15,108.74,106.89,,,,,,,,,,,,,,,,,ML,25,P,,,3.9,600.0,152.0,22.0,2.0,13.0,39.0,144.0,0.2943886138613861,0.3562029702970297,3.0,0.39,0.22152561881188115,0.24,0.065
119,Eric Hendrick,"Hendrick, Eric",P,22,P,135.42,104.03,106.8,,,,,,,,,,,,,,,,,A,22,P,,,7.32,600.0,161.0,18.0,2.0,10.0,44.0,91.0,0.3150915841584158,0.3506881188118811,4.0,0.38,0.2294632425742574,0.15166666666666667,0.07333333333333333
121,John Madrid,"Madrid, John",P,22,P,85.1,110.98,106.36,,,,,,,,,,,,,,,,,AA,22,P,,,4.6,600.0,140.0,23.0,3.0,13.0,63.0,183.0,0.3045925,0.343285,4.0,0.33,0.222887875,0.305,0.105
125,Dennis George,"George, Dennis",P,24,P,146.15,105.02,105.49,,,,,,,,,,,,,,,,,AAA,24,P,,,7.9,600.0,139.0,29.0,3.0,17.0,60.0,155.0,0.2957775000000001,0.3645875000000001,5.0,0.25,0.22424675000000005,0.25833333333333336,0.1
127,Tim Irvine,"Irvine, Tim",P,22,P,60.49,110.65,105.1,,,,,,,,,,,,,,,,,AAA,22,P,,,3.27,600.0,162.0,12.0,1.0,7.0,52.0,111.0,0.3231175,0.32294,4.0,0.34,0.22613787500000002,0.185,0.08666666666666667
134,Lee Francis,"Francis, Lee",P,19,P,69.38,109.06,104.43,,,,,,,,,,,,,,,,,AA,19,P,,,3.75,600.0,136.0,22.0,2.0,13.0,64.0,217.0,0.3076625,0.34675,2.0,0.55,0.225135625,0.3616666666666667,0.10666666666666667
154,Luis Todd,"Todd, Luis",P,24,P,135.97,104.54,103.16,,,,,,,,,,,,,,,,,AAA,24,P,,,7.35,600.0,139.0,29.0,3.0,17.0,60.0,157.0,0.2971039603960396,0.3656039603960396,4.0,0.35,0.22509777227722771,0.26166666666666666,0.1
157,Chris Chase,"Chase, Chris",P,21,P,83.25,104.73,102.88,,,,,,,,,,,,,,,,,AA,21,P,,,4.5,600.0,153.0,24.0,3.0,14.0,40.0,136.0,0.29716,0.3648075,5.0,0.26,0.224923875,0.22666666666666666,0.06666666666666667
160,Danny Cecil,"Cecil, Danny",P,19,P,85.47,104.51,102.66,,,,,,,,,,,,,,,,,A,19,P,,,4.62,600.0,150.0,28.0,3.0,16.0,34.0,150.0,0.28417,0.377345,3.0,0.36,0.22221275000000001,0.25,0.056666666666666664
173,Harry Fletcher,"Fletcher, Harry",P,25,P,147.63,98.03,101.73,,,,,,,,,,,,,,,,,AAA,25,P,,,7.98,600.0,150.0,32.0,4.0,19.0,31.0,170.0,0.28261,0.40036,3.0,0.34,0.22726449999999998,0.2833333333333333,0.051666666666666666
178,Raistlin Majere,"Majere, Raistlin",P,24,P,134.68,101.27,101.27,,,,,,,,,,,,,,,,,AAA,24,P,,,7.28,600.0,145.0,24.0,3.0,14.0,52.0,100.0,0.30779,0.367705,4.0,0.34,0.23043175,0.16666666666666666,0.08666666666666667
189,Joe Gillis,"Gillis, Joe",P,21,P,118.58,100.53,100.53,,,,,,,,,,,,,,,,,AA,21,P,,,6.41,600.0,162.0,20.0,2.0,12.0,42.0,120.0,0.3120475,0.36002,3.0,0.39,0.230426375,0.2,0.07
194,Roger Aldaco,"Aldaco, Roger",P,25,P,118.58,100.21,100.21,,,,,,,,,,,,,,,,,AAA,25,P,,,6.41,600.0,159.0,23.0,3.0,13.0,38.0,120.0,0.3031000000000001,0.3701000000000001,5.0,0.26,0.22892000000000007,0.2,0.06333333333333334
198,William Riker,"Riker, William",P,24,P,148.0,99.88,99.88,,,,,,,,,,,,,,,,,ML,24,P,,,8.0,600.0,153.0,27.0,3.0,16.0,38.0,129.0,0.2936175,0.3807,3.0,0.38,0.22730287500000002,0.215,0.06333333333333334
203,Darnell Hayes,"Hayes, Darnell",P,23,P,128.94,95.87,99.57,,,,,,,,,,,,,,,,,AAA,23,P,,,6.97,600.0,152.0,28.0,3.0,16.0,32.0,165.0,0.29678,0.39878,5.0,0.29,0.233246,0.275,0.05333333333333334
207,Mike Dupp,"Dupp, Mike",P,20,P,106.75,99.31,99.31,,,,,,,,,,,,,,,,,AA,20,P,,,5.77,600.0,152.0,27.0,3.0,15.0,45.0,183.0,0.3005,0.37731,5.0,0.27,0.2295525,0.305,0.075
209,Jeremiah Longfellow,"Longfellow, Jeremiah",P,22,P,68.64,107.58,99.25,,,,,,,,,,,,,,,,,A,22,P,,,3.71,600.0,141.0,25.0,3.0,15.0,61.0,159.0,0.30201,0.35251,4.0,0.37,0.224032,0.265,0.10166666666666667
212,Ben Stern,"Stern, Ben",P,25,P,80.11,100.68,98.83,,,,,,,,,,,,,,,,,AAA,25,P,,,4.33,600.0,149.0,28.0,3.0,16.0,45.0,126.0,0.2941475,0.37799,3.0,0.48,0.226863875,0.21,0.075
214,Whiskey Aleman,"Aleman, Whiskey",P,21,P,148.0,98.75,98.75,,,,,,,,,,,,,,,,,AA,21,P,,,8.0,600.0,158.0,26.0,3.0,15.0,33.0,136.0,0.2963440594059406,0.3823440594059406,3.0,0.37,0.2289408415841584,0.22666666666666666,0.055
215,Rudy Meylan,"Meylan, Rudy",P,24,P,148.0,98.72,98.72,,,,,,,,,,,,,,,,,ML,24,P,,,8.0,600.0,155.0,27.0,3.0,16.0,34.0,146.0,0.2949375,0.3866000000000001,3.0,0.35,0.22937187500000006,0.24333333333333335,0.056666666666666664
216,Mike Hazelrigg,"Hazelrigg, Mike",P,22,P,148.0,98.72,98.72,,,,,,,,,,,,,,,,,AAA,22,P,,,8.0,600.0,152.0,23.0,3.0,13.0,49.0,137.0,0.3131388888888888,0.3711388888888888,3.0,0.5,0.23369722222222217,0.22833333333333333,0.08166666666666667
222,Raymond Volden,"Volden, Raymond",P,20,P,58.65,106.67,98.35,,,,,,,,,,,,,,,,,A,20,P,,,3.17,600.0,146.0,19.0,2.0,11.0,60.0,127.0,0.31747,0.3434699999999999,3.0,0.4,0.22872899999999996,0.21166666666666667,0.1
227,Lance Graham,"Graham, Lance",P,24,P,121.92,100.9,98.12,,,,,,,,,,,,,,,,,ML,24,P,,,6.59,600.0,151.0,22.0,2.0,13.0,64.0,215.0,0.3188925,0.3527275,5.0,0.29,0.23168350000000004,0.35833333333333334,0.10666666666666667
232,Otis Milliron,"Milliron, Otis",P,25,P,72.33,103.42,97.86,,,,,,,,,,,,,,,,,ML,25,P,,,3.91,600.0,150.0,28.0,3.0,16.0,34.0,152.0,0.28613,0.3804125,5.0,0.25,0.223861625,0.25333333333333335,0.056666666666666664
234,Latka Gravas,"Gravas, Latka",P,24,P,142.63,97.83,97.83,,,,,,,,,,,,,,,,,ML,24,P,,,7.71,600.0,158.0,26.0,3.0,15.0,33.0,146.0,0.29687,0.3859675,3.0,0.44,0.230083375,0.24333333333333335,0.055
236,Tom Benedict,"Benedict, Tom",P,20,P,148.0,97.68,97.68,,,,,,,,,,,,,,,,,A,20,P,,,8.0,600.0,150.0,29.0,3.0,17.0,43.0,117.0,0.2958585858585858,0.3891085858585859,4.0,0.32,0.2304135101010101,0.195,0.07166666666666667
237,Brian Hougham,"Hougham, Brian",P,25,P,106.75,97.59,97.59,,,,,,,,,,,,,,,,,ML,25,P,,,5.77,600.0,155.0,27.0,3.0,16.0,37.0,138.0,0.29805,0.388145,4.0,0.37,0.23115875000000002,0.23,0.06166666666666667
240,Ron Tansil,"Tansil, Ron",P,22,P,148.0,97.51,97.51,,,,,,,,,,,,,,,,,AAA,22,P,,,8.0,600.0,159.0,22.0,2.0,13.0,51.0,126.0,0.3179975247524752,0.3670569306930692,4.0,0.34,0.23486311881188116,0.21,0.085
245,Preslee Downing,"Downing, Preslee",P,22,P,148.0,97.22,97.22,,,,,,,,,,,,,,,,,AAA,22,P,,,8.0,600.0,159.0,25.0,3.0,15.0,42.0,128.0,0.3052752525252524,0.378489898989899,3.0,0.46,0.23199633838383832,0.21333333333333335,0.07
247,Tommie Grover,"Grover, Tommie",P,23,P,93.24,97.0,97.0,,,,,,,,,,,,,,,,,AA,23,P,,,5.04,600.0,153.0,27.0,3.0,16.0,48.0,133.0,0.30561,0.38061,3.0,0.34,0.232677,0.22166666666666668,0.08
252,Don Bhatti,"Bhatti, Don",P,21,P,148.0,93.09,96.79,,,,,,,,,,,,,,,,,AAA,21,P,,,8.0,600.0,153.0,32.0,4.0,18.0,41.0,191.0,0.2979924242424243,0.4046388888888889,3.0,0.41,0.23525631313131315,0.31833333333333336,0.06833333333333333
254,Matt Locke,"Locke, Matt",P,24,P,59.57,102.16,96.61,,,,,,,,,,,,,,,,,AAA,24,P,,,3.22,600.0,150.0,24.0,3.0,14.0,52.0,115.0,0.3059575,0.36335,2.0,0.57,0.228518375,0.19166666666666668,0.08666666666666667
263,Charlie Blanco,"Blanco, Charlie",P,22,P,83.44,101.66,96.11,,,,,,,,,,,,,,,,,AA,22,P,,,4.51,600.0,151.0,23.0,2.0,13.0,39.0,56.0,0.3026925,0.37179,3.0,0.39,0.22915912500000002,0.09333333333333334,0.065
267,Victor Tritto,"Tritto, Victor",P,24,P,142.63,95.85,95.85,,,,,,,,,,,,,,,,,AAA,24,P,,,7.71,600.0,160.0,28.0,3.0,16.0,30.0,122.0,0.29682,0.394825,4.0,0.34,0.23227525,0.20333333333333334,0.05
271,Jose Moss,"Moss, Jose",P,23,P,72.7,101.25,95.7,,,,,,,,,,,,,,,,,AAA,23,P,,,3.93,600.0,154.0,26.0,3.0,15.0,39.0,129.0,0.2969040404040404,0.3747070707070707,3.0,0.37,0.22728358585858588,0.215,0.065
282,Jose Rudd,"Rudd, Jose",P,23,P,145.78,95.5,95.5,,,,,,,,,,,,,,,,,AAA,23,P,,,7.88,600.0,160.0,28.0,3.0,16.0,30.0,126.0,0.2975,0.3964375,2.0,0.75,0.232984375,0.21,0.05
295,Otis Schoeck,"Schoeck, Otis",P,23,P,132.46,94.83,94.83,,,,,,,,,,,,,,,,,ML,23,P,,,7.16,600.0,152.0,31.0,3.0,18.0,38.0,114.0,0.2942020202020202,0.4027550505050505,4.0,0.28,0.2330796717171717,0.19,0.06333333333333334
296,Mike Eisenberg,"Eisenberg, Mike",P,21,P,147.44,94.79,94.79,,,,,,,,,,,,,,,,,A,21,P,,,7.97,600.0,158.0,26.0,3.0,15.0,45.0,127.0,0.3121386138613861,0.386388613861386,4.0,0.27,0.23705952970297026,0.21166666666666667,0.075
300,Nicholas Pfister,"Pfister, Nicholas",P,19,P,103.6,94.74,94.74,,,,,,,,,,,,,,,,,AA,19,P,,,5.6,600.0,158.0,25.0,3.0,15.0,49.0,108.0,0.315,0.3811099999999999,4.0,0.31,0.2370275,0.18,0.08166666666666667
