Name,ID,age,pos,HFA,POW,EYE,END,CTL,STF,ARM,FLD,GRADE,height,weight,pos2,throws,bats,arm_st,basespeed,hit_gb,hit_pull,hit_middle,hit_opp,hit_ab, hit_hit, hit_2b, hit_3b, hit_hr, hit_walk, hit_k,hit_avg_l,hit_avg_r,hit_obp_l,hit_obp_r,hit_slg_l,hit_slg_r,pit_gb, pit_end,pit_ab, pit_hit, pit_2b, pit_3b, pit_hr, pit_walk, pit_k,numpitches,pit1,qual_1, avg_1_l, avg_1_r, obp_1_l, obp_1_r, slg_1_l, slg_1_r,pit2,qual_2, avg_2_l, avg_2_r, obp_2_l, obp_2_r, slg_2_l, slg_2_r,pit3,qual_3, avg_3_l, avg_3_r, obp_3_l, obp_3_r, slg_3_l, slg_3_r,pit4,qual_4, avg_4_l, avg_4_r, obp_4_l, obp_4_r, slg_4_l, slg_4_r,pit5,qual_5, avg_5_l, avg_5_r, obp_5_l, obp_5_r, slg_5_l, slg_5_r,pit6,qual_6, avg_6_l, avg_6_r, obp_6_l, obp_6_r, slg_6_l, slg_6_r,of_rng, if_rng, fldper, p, c, b1, b2, b3, ss, lf, cf, rf
John Knight,47,18,P,10,10,17,100,99,65,92,57,72,192,P,R,L,9.07,2.41,0.61,0.30,0.37,0.33,100,14,4,0,0,3,40,0.133,0.147,0.155,0.175,0.165,0.195,0.45,8.00,600,176,42,5,24,42,175,5,Fastball,0.28,0.271,0.260,0.319,0.304,0.482,0.459,Curve,0.18,0.292,0.281,0.340,0.325,0.503,0.480,Slider,0.14,0.307,0.295,0.354,0.340,0.518,0.495,Changeup,0.25,0.310,0.298,0.358,0.343,0.521,0.498,Split Finger,0.15,0.332,0.320,0.380,0.365,0.543,0.520,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.20,3.97,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Leroy Porter,48,20,P,10,10,50,94,74,47,94,44,74,207,P,R,R,8.80,3.04,0.73,0.33,0.48,0.19,100,17,2,1,1,6,29,0.177,0.163,0.226,0.208,0.254,0.226,0.70,7.73,600,174,29,3,17,73,106,2,Fastball,0.49,0.286,0.274,0.365,0.350,0.434,0.411,Changeup,0.51,0.306,0.294,0.385,0.370,0.454,0.431,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.44,2.79,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Addie Sa,52,18,P,10,10,35,82,96,89,81,56,71,183,P,R,R,8.91,2.05,0.66,0.25,0.57,0.17,100,16,4,1,0,4,35,0.166,0.154,0.200,0.185,0.232,0.208,0.54,5.41,600,168,56,6,32,47,131,3,Fastball,0.36,0.273,0.255,0.329,0.305,0.558,0.521,Slider,0.24,0.294,0.276,0.349,0.326,0.578,0.541,Changeup,0.40,0.303,0.284,0.358,0.334,0.587,0.550,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.74,3.88,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jim Bartel,53,20,P,10,10,38,92,92,88,93,52,72,176,P,R,R,8.76,1.86,0.73,0.30,0.47,0.23,100,14,4,0,0,6,37,0.146,0.134,0.197,0.181,0.193,0.167,0.41,6.70,600,142,34,4,20,59,116,5,Fastball,0.20,0.210,0.201,0.279,0.268,0.384,0.366,Curve,0.23,0.230,0.221,0.299,0.288,0.404,0.386,Slider,0.23,0.243,0.234,0.312,0.301,0.417,0.399,Changeup,0.21,0.256,0.247,0.325,0.314,0.430,0.412,Forkball,0.13,0.278,0.269,0.348,0.336,0.452,0.434,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.73,3.55,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paul McCollester,54,20,P,10,10,17,94,85,77,99,52,72,173,P,R,R,8.29,3.66,0.73,0.30,0.51,0.19,100,13,4,1,0,6,45,0.137,0.123,0.189,0.170,0.205,0.175,0.46,3.37,600,165,55,6,32,48,148,4,Fastball,0.18,0.252,0.241,0.307,0.294,0.527,0.507,Curve,0.31,0.273,0.263,0.328,0.315,0.549,0.528,Changeup,0.29,0.287,0.276,0.342,0.329,0.562,0.542,Forkball,0.22,0.302,0.292,0.358,0.344,0.578,0.558,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.36,3.54,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ralph Villines,55,19,P,10,10,30,94,87,43,96,41,73,211,P,L,L,8.54,1.51,0.68,0.26,0.50,0.23,100,14,2,1,0,6,40,0.132,0.148,0.179,0.199,0.164,0.196,0.45,6.48,600,181,42,5,24,47,89,3,Fastball,0.43,0.277,0.294,0.324,0.347,0.475,0.510,Slider,0.33,0.297,0.315,0.345,0.367,0.495,0.530,Sinker,0.24,0.313,0.330,0.361,0.383,0.511,0.546,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.67,2.55,0.979,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthony Kosa,56,19,P,10,10,56,68,77,11,88,50,76,205,P,R,R,9.23,2.42,0.65,0.40,0.44,0.16,100,17,3,0,1,6,24,0.177,0.163,0.226,0.208,0.245,0.215,0.43,5.35,600,148,43,5,25,29,135,3,Fastball,0.34,0.235,0.224,0.272,0.258,0.455,0.433,Curve,0.35,0.255,0.244,0.292,0.278,0.475,0.453,Slider,0.31,0.268,0.258,0.305,0.291,0.488,0.467,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.63,3.36,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Douglas Brown,59,18,P,10,10,43,100,90,82,100,58,73,201,P,R,R,9.47,2.00,0.73,0.47,0.37,0.16,100,13,3,0,0,5,32,0.137,0.123,0.181,0.162,0.174,0.146,0.49,8.00,600,163,49,5,29,64,140,3,Fastball,0.42,0.264,0.247,0.337,0.315,0.516,0.482,Changeup,0.32,0.284,0.267,0.357,0.336,0.536,0.503,Forkball,0.26,0.299,0.282,0.372,0.350,0.551,0.517,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.01,4.07,0.978,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trevor Treger,61,18,P,10,10,42,30,99,78,80,54,72,199,P,R,R,8.22,2.60,0.68,0.33,0.48,0.20,100,13,2,0,0,5,33,0.140,0.120,0.184,0.159,0.169,0.131,0.47,4.17,600,193,36,4,21,59,131,4,Fastball,0.31,0.306,0.293,0.369,0.352,0.491,0.464,Curve,0.30,0.326,0.313,0.389,0.372,0.511,0.484,Slider,0.13,0.350,0.337,0.413,0.396,0.535,0.507,Changeup,0.26,0.348,0.334,0.411,0.393,0.532,0.505,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.77,3.71,0.991,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jon Levy,66,21,3B,75,49,67,53,10,10,44,44,74,198,3B,R,R,7.94,3.65,0.60,0.28,0.35,0.38,600,162,30,3,4,46,48,0.280,0.261,0.334,0.310,0.371,0.333,0.46,2.97,84,30,8,1,5,30,6,1,Fastball,1.00,0.369,0.355,0.541,0.522,0.674,0.645,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.25,3.93,0.996,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Alvin Vanpatten,67,22,RF,13,10,63,50,10,10,58,70,74,224,RF,L,L,4.81,3.43,0.66,0.32,0.30,0.38,600,133,27,4,3,63,109,0.215,0.228,0.288,0.304,0.279,0.304,0.48,2.79,84,30,8,1,5,30,6,1,Fastball,1.00,0.356,0.369,0.523,0.540,0.647,0.673,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.84,2.39,0.977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Dave Royal,69,18,1B,48,12,55,13,10,10,83,48,74,223,1B,R,R,6.46,2.80,0.73,0.35,0.35,0.30,600,143,24,3,4,72,80,0.245,0.231,0.329,0.311,0.323,0.294,0.50,1.13,84,30,8,1,5,30,6,1,Fastball,1.00,0.368,0.356,0.539,0.523,0.672,0.648,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.70,2.28,0.997,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Matthew Horn,75,19,C,69,36,70,42,10,10,85,58,75,201,C,R,L,5.65,2.08,0.61,0.30,0.47,0.23,600,133,32,2,14,75,121,0.215,0.228,0.300,0.317,0.337,0.364,0.46,2.22,84,30,8,1,5,30,6,1,Fastball,1.00,0.367,0.357,0.537,0.525,0.669,0.650,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.85,1.99,0.971,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Calarco,77,19,2B,63,10,87,43,10,10,88,92,72,189,2B,R,L,8.27,4.42,0.73,0.27,0.42,0.32,600,124,25,3,2,66,120,0.201,0.211,0.278,0.291,0.256,0.277,0.36,2.27,84,30,8,1,5,30,6,1,Fastball,1.00,0.368,0.356,0.539,0.523,0.672,0.647,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,6.19,6.55,0.989,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Michael Lazar,88,21,2B,61,10,69,45,10,10,100,93,74,212,2B,R,S,6.80,3.18,0.63,0.35,0.35,0.30,600,152,25,6,9,41,68,0.251,0.254,0.299,0.302,0.358,0.361,0.49,2.43,84,30,8,1,5,30,6,1,Fastball,1.00,0.370,0.355,0.541,0.522,0.675,0.645,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,4.06,5.61,0.997,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Charlie Slattery,97,18,C,84,30,74,41,10,10,91,10,69,150,C,R,S,6.34,1.93,0.73,0.32,0.41,0.28,600,159,25,1,0,71,42,0.266,0.263,0.344,0.340,0.311,0.307,0.33,2.14,84,30,8,1,5,30,6,1,Fastball,1.00,0.369,0.356,0.540,0.523,0.673,0.646,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.88,1.18,0.982,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthony Vidalez,100,22,1B,11,18,91,42,10,10,82,23,69,167,1B,L,L,6.94,3.05,0.63,0.42,0.34,0.23,600,153,24,3,11,30,97,0.249,0.261,0.283,0.298,0.348,0.371,0.47,2.22,84,30,8,1,5,30,6,1,Fastball,1.00,0.356,0.369,0.523,0.540,0.647,0.673,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.21,3.05,0.998,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Northam,101,18,2B,56,58,95,49,10,10,65,57,75,217,2B,R,R,7.83,2.78,0.73,0.35,0.38,0.28,600,147,22,3,3,66,69,0.252,0.237,0.328,0.309,0.320,0.291,0.47,2.73,84,30,8,1,5,30,6,1,Fastball,1.00,0.371,0.353,0.543,0.520,0.677,0.642,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.78,4.00,0.987,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Floyd Pfisterer,103,18,3B,32,16,22,33,10,10,54,77,72,205,3B,R,R,7.55,4.04,0.65,0.34,0.37,0.29,600,143,20,5,2,53,95,0.246,0.231,0.311,0.291,0.313,0.282,0.41,1.82,84,30,8,1,5,30,6,1,Fastball,1.00,0.372,0.352,0.544,0.518,0.680,0.639,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,4.30,4.67,0.998,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Gary Garibay,105,20,SS,32,36,87,13,10,10,92,80,72,198,SS,R,L,8.19,3.28,0.52,0.36,0.36,0.28,600,140,17,0,17,34,86,0.226,0.240,0.265,0.284,0.333,0.362,0.33,1.11,84,30,8,1,5,30,6,1,Fastball,1.00,0.370,0.354,0.541,0.521,0.675,0.644,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,4.15,5.46,0.980,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Marlin Studzinski,107,18,LF,53,25,92,11,10,10,97,87,69,154,LF,L,R,5.88,3.68,0.72,0.28,0.63,0.09,600,149,28,3,4,42,49,0.257,0.240,0.309,0.287,0.341,0.306,0.44,1.06,84,30,8,1,5,30,6,1,Fastball,1.00,0.354,0.370,0.521,0.541,0.644,0.675,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,4.62,3.16,0.988,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Felipe Jones,112,18,CF,80,85,91,22,10,10,80,49,75,228,CF,R,L,6.49,3.90,0.73,0.21,0.45,0.34,600,194,38,3,22,67,62,0.316,0.331,0.382,0.401,0.494,0.524,0.45,1.45,84,30,8,1,5,30,6,1,Fastball,1.00,0.369,0.355,0.540,0.522,0.674,0.646,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.64,2.88,0.989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Brad Childress,121,18,RF,40,30,86,49,10,10,81,95,69,158,RF,L,S,4.12,8.94,0.39,0.48,0.36,0.16,600,144,35,3,9,27,77,0.239,0.242,0.272,0.275,0.351,0.353,0.33,2.72,84,30,8,1,5,30,6,1,Fastball,1.00,0.355,0.369,0.523,0.540,0.646,0.673,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,8.73,8.14,0.994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Kieth Hopkins,127,20,P,10,10,15,49,88,27,100,32,73,202,P,R,R,8.40,1.55,0.73,0.29,0.58,0.13,100,16,2,1,0,5,44,0.166,0.154,0.208,0.192,0.212,0.188,0.48,4.17,600,178,49,5,28,80,110,4,Fastball,0.25,0.278,0.265,0.363,0.346,0.527,0.501,Curve,0.35,0.299,0.286,0.384,0.367,0.548,0.522,Changeup,0.26,0.314,0.301,0.399,0.382,0.563,0.537,Forkball,0.14,0.338,0.325,0.423,0.406,0.587,0.561,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.04,2.04,0.985,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
